id,product_name,aspect,positive_mentions,negative_mentions,neutral_mentions,avg_compound,sample_positive,sample_negative
1,Alpine Pro Ski Boots,fit,11,3,0,0.3843,Five stars for the fit! Perfect sizing with no break-in period needed. Worth every penny.,The fit failed after just a few uses. The sizing chart is completely inaccurate. Very poor quality.
2,Alpine Pro Ski Boots,durability,19,5,6,0.3438,The Alpine Pro Ski Boots exceeded my expectations. The durability is top-notch. Still going strong after hundreds of miles.,Not happy with the durability at all. Material started peeling almost immediately. Would not recommend.
3,Alpine Pro Ski Boots,warmth,15,3,0,0.55,Really impressed with the warmth. Kept my feet toasty in -20°C conditions. Highly recommend for anyone serious about outdoor gear.,The warmth is decent but nothing special. Okay in moderately cold weather. Gets the job done.
4,Alpine Pro Ski Boots,weight,17,8,1,0.264,Absolutely love the weight on the Alpine Pro Ski Boots. Surprisingly lightweight for the features. Would buy again!,The weight completely ruined my winter trip. The weight is a dealbreaker for long treks. Unacceptable quality.
5,Alpine Pro Ski Boots,price,30,11,1,0.3305,Five stars for the fit! Perfect sizing with no break-in period needed. Worth every penny.,Terrible price. There are far better options at half the price. This does not live up to the brand's reputation.
6,Alpine Pro Ski Boots,waterproofing,2,0,0,0.8891,"Pleasantly surprised by the warmth. Even in deep powder, my feet stayed warm and dry. My go-to gear for spring.",
7,Alpine Pro Ski Boots,safety,4,0,0,0.8953,The ankle support is outstanding. My ankles felt locked in and secure. Best purchase I've made this season.,
8,Alpine Pro Ski Boots,reliability,0,4,0,-0.5049,,The weight failed after just a few uses. Feels like carrying bricks. Very poor quality.
9,Alpine Pro Ski Boots,ease of use,1,1,0,0.1538,The warmth is subpar. My feet were freezing after just 30 minutes. I've had much better from competitors.,Not happy with the warmth at all. My feet were freezing after just 30 minutes. Would not recommend.
10,Alpine Pro Ski Boots,ankle support,13,6,1,0.3507,Average ankle support. Could use a bit more rigidity. It's okay for casual use.,Really frustrated with the ankle support. Twisted my ankle because the support is so poor. Customer service wasn't helpful either.
11,ArcticShield Winter Jacket,fit,13,6,0,0.3037,The ArcticShield Winter Jacket exceeded my expectations. The fit is top-notch. Perfect sizing with no break-in period needed.,"The fit failed after just a few uses. Way too tight around the toe box, even after sizing up. Very poor quality."
12,ArcticShield Winter Jacket,durability,11,1,0,0.4526,Wouldn't buy again due to the breathability issues. Feels like wearing plastic bags. Not worth the premium price.,The breathability failed after just a few uses. Feels like wearing plastic bags. Very poor quality.
13,ArcticShield Winter Jacket,warmth,22,1,0,0.6535,"Great warmth! Even in deep powder, my feet stayed warm and dry. Perfect for my summer adventures.",Really frustrated with the warmth. The insulation is laughably thin. Customer service wasn't helpful either.
14,ArcticShield Winter Jacket,weight,24,4,6,0.3702,Great weight! Barely notice the weight. Perfect for my summer adventures.,The weight failed after just a few uses. Feels like carrying bricks. Very poor quality.
15,ArcticShield Winter Jacket,price,36,14,0,0.2933,The ArcticShield Winter Jacket has serious issues with waterproofing. Everything inside was soaked. Save your money.,Really frustrated with the price. There are far better options at half the price. Customer service wasn't helpful either.
16,ArcticShield Winter Jacket,waterproofing,21,6,3,0.3448,"Great warmth! Even in deep powder, my feet stayed warm and dry. Perfect for my summer adventures.",Wouldn't buy again due to the waterproofing issues. Everything inside was soaked. Not worth the premium price.
