id,product_name,pain_point,frequency,severity_score,sample_verbatim,recommended_action
1,Summit Hiking Backpack,overpriced,30,0.3947,Terrible price. There are far better options at half the price. This does not live up to the brand's reputation.,Add price comparison chart vs competitors; highlight value proposition in copy
2,Alpine Pro Ski Boots,durability issues,29,0.5646,Not happy with the durability at all. Material started peeling almost immediately. Would not recommend.,Feature warranty/guarantee prominently in campaign; add durability test video
3,ArcticShield Winter Jacket,unreliable,22,0.5891,The weight failed after just a few uses. Feels like carrying bricks. Very poor quality.,Add reliability guarantee; feature endurance testing in campaign content
4,VerticalEdge Climbing Harness,too heavy,10,0.5279,The weight failed after just a few uses. Feels like carrying bricks. Very poor quality.,Compare weight specs vs competitors; highlight weight-to-performance ratio
5,ArcticShield Winter Jacket,runs small,9,0.4542,"The fit failed after just a few uses. Way too tight around the toe box, even after sizing up. Very poor quality.",Add detailed sizing guide with measurement chart to campaign landing page
6,TrailBlazer Running Shoes,not breathable,8,0.615,Really frustrated with the breathability. My feet were soaked in sweat. Customer service wasn't helpful either.,Add breathability technology explanation; include climate-specific recommendations
7,ArcticShield Winter Jacket,leaks,7,0.5108,Wouldn't buy again due to the waterproofing issues. Everything inside was soaked. Not worth the premium price.,Showcase waterproof testing footage in campaigns; add water resistance rating
8,Alpine Pro Ski Boots,poor insulation,4,0.4318,The warmth is decent but nothing special. Okay in moderately cold weather. Gets the job done.,Highlight insulation technology specs in ad creative; add warmth rating badge
9,VerticalEdge Climbing Harness,uncomfortable,4,0.7635,Really frustrated with the comfort. Extremely uncomfortable pressure points. Customer service wasn't helpful either.,Include customer comfort testimonials in ads; offer break-in period tips
10,TrailBlazer Running Shoes,poor grip,2,0.841,The grip completely ruined my summer trip. Lost traction on every downhill. Unacceptable quality.,Add terrain-specific performance data to product pages; feature grip test content
